Date,A,ABBV,ABT,ACN,ADBE,AES,AFL,AMD,AOS,MMM
2017-01-03,43.975955963134766,45.02865219116211,34.127403259277344,103.76564025878906,103.4800033569336,9.04454517364502,29.332717895507812,11.430000305175781,41.923004150390625,108.13505554199219
2017-01-04,44.55295944213867,45.663570404052734,34.39834213256836,104.01512145996094,104.13999938964844,8.966976165771484,29.601791381835938,11.430000305175781,42.29368209838867,108.2990493774414
2017-01-05,44.02324676513672,46.009891510009766,34.695472717285156,102.45589447021484,105.91000366210938,8.85062026977539,29.408388137817383,11.239999771118164,42.099510192871094,107.9285888671875
2017-01-06,45.39483642578125,46.02431869506836,35.639320373535156,103.62308502197266,108.30000305175781,9.168654441833496,29.509292602539062,11.319999694824219,42.117156982421875,108.244384765625
2017-01-09,45.53673553466797,46.32734680175781,35.604366302490234,102.46479797363281,108.56999969482422,8.943702697753906,29.227603912353516,11.489999771118164,41.834747314453125,107.66136169433594
2017-01-10,45.49888229370117,46.22633743286133,36.085025787353516,102.51825714111328,108.26000213623047,8.788564682006836,29.189769744873047,11.4399995803833,42.1524772644043,107.2422866821289
2017-01-11,46.586708068847656,44.55742645263672,36.13339614868164,103.46272277832031,108.98999786376953,9.129867553710938,29.370553970336914,11.199999809265137,42.63788986206055,108.03790283203125
2017-01-12,45.896183013916016,44.65945816040039,35.81675720214844,103.15978240966797,108.58999633789062,8.982491493225098,29.248628616333008,10.760000228881836,42.214256286621094,107.76458740234375
2017-01-13,46.056976318359375,45.176910400390625,36.0014762878418,104.2022476196289,108.52999877929688,9.091084480285645,29.27805519104004,10.579999923706055,42.770286560058594,107.7342529296875
2017-01-17,45.706993103027344,45.0821533203125,35.97508239746094,103.38251495361328,108.0,9.238468170166016,29.378957748413086,9.819999694824219,42.249549865722656,107.6552734375
2017-01-18,45.64077377319336,44.936405181884766,35.85194778442383,103.31123352050781,108.79000091552734,9.25397777557373,29.416799545288086,9.880000114440918,42.27603530883789,108.40230560302734
2017-01-19,45.06377029418945,44.73234558105469,35.53529739379883,102.91029357910156,109.79000091552734,9.09884262084961,29.202381134033203,9.770000457763672,41.87886047363281,108.5176773071289
2017-01-20,45.04484176635742,44.56473159790039,35.58805847167969,102.52715301513672,110.70999908447266,8.85062026977539,29.46304702758789,9.75,42.26720428466797,108.40230560302734
2017-01-23,44.82728958129883,44.42625045776367,35.482513427734375,102.3044204711914,110.97000122070312,8.703240394592285,29.156131744384766,9.90999984741211,42.337806701660156,108.4144287109375
2017-01-24,44.78944396972656,44.14931869506836,35.45613098144531,103.7834701538086,113.72000122070312,8.819592475891113,29.35373306274414,10.4399995803833,43.229225158691406,106.87184143066406
2017-01-25,45.7921257019043,44.73234558105469,35.45613098144531,104.75464630126953,114.25,8.819592475891113,29.622806549072266,10.350000381469727,43.608734130859375,107.3333969116211
2017-01-26,45.56510543823242,44.65217208862305,36.02785873413086,103.29341888427734,112.87999725341797,8.703240394592285,29.664836883544922,10.520000457763672,43.079185485839844,107.38803100585938
2017-01-27,46.01914596557617,43.72663116455078,36.06303024291992,102.77664184570312,113.98999786376953,8.842863082885742,29.542922973632812,10.670000076293945,42.9995231628418,107.78890991210938
2017-01-30,45.09214782714844,44.04000473022461,36.07183074951172,102.1351318359375,113.81999969482422,8.787988662719727,29.57656478881836,10.609999656677246,42.88445281982422,106.53781127929688
2017-01-31,46.32184982299805,44.53557205200195,36.74032974243164,101.45796966552734,113.37999725341797,8.968293190002441,29.425201416015625,10.369999885559082,43.14999008178711,106.17338562011719
2017-02-01,46.596160888671875,44.375244140625,37.23289489746094,100.86990356445312,113.36000061035156,8.811507225036621,28.22701072692871,12.0600004196167,42.88445281982422,106.38595581054688
2017-02-02,46.25563049316406,44.375244140625,37.60232162475586,101.25304412841797,113.16000366210938,8.874224662780762,28.517099380493164,12.279999732971191,41.76918411254883,105.78469848632812
2017-02-03,46.70967102050781,44.214900970458984,37.62870788574219,102.0103988647461,115.16999816894531,8.913419723510742,28.84502601623535,12.239999771118164,43.689918518066406,106.30702209472656
2017-02-06,46.60560989379883,44.20034408569336,37.320865631103516,101.73418426513672,114.45999908447266,8.850703239440918,28.97956085205078,13.630000114440918,43.875797271728516,106.34341430664062
2017-02-07,46.95560836791992,44.134742736816406,37.725460052490234,103.28450775146484,114.95999908447266,8.960455894470215,28.996376037597656,13.289999961853027,43.689918518066406,106.74429321289062
2017-02-08,47.22992706298828,44.1056022644043,37.29446029663086,102.8479232788086,116.12999725341797,9.08588695526123,29.27805519104004,13.5600004196167,43.689918518066406,107.5398941040039
2017-02-09,47.7407341003418,44.33880615234375,37.4176139831543,104.2289810180664,116.44000244140625,8.991813659667969,29.387367248535156,13.420000076293945,44.15904998779297,108.2140121459961
2017-02-10,47.63667678833008,44.03271484375,37.59352111816406,104.7813949584961,116.8499984741211,9.101564407348633,29.421003341674805,13.579999923706055,44.10594177246094,108.71202850341797
2017-02-13,47.78803253173828,44.09830093383789,38.01572799682617,105.66346740722656,117.6500015258789,9.156438827514648,30.025917053222656,13.489999771118164,44.21214294433594,109.93881225585938
2017-02-14,47.66505432128906,44.3242301940918,38.393951416015625,106.9197769165039,117.58000183105469,9.007493019104004,30.05129051208496,13.260000228881836,43.96430969238281,110.29105377197266
2017-02-15,48.82853317260742,44.92911148071289,38.7017936706543,106.857421875,118.7300033569336,9.062369346618652,30.034387588500977,13.300000190734863,43.672218322753906,111.21240997314453
